start_name,stop_name,count,start_lng,start_lat,stop_lng,stop_lat,distance
Peoria St & Jackson Blvd,900 W Harrison St,133,-87.627542,41.856594,-87.627887964,41.877249837,2624.8
Sheridan Rd & Irving Park Rd,Broadway & Waveland Ave,134,-87.658139,41.965221,-87.648576856,41.949087858,2557.4
Sheridan Rd & Irving Park Rd,Sheridan Rd & Buena Ave,137,-87.658139,41.965221,-87.648636,41.949074,2554.2
State St & 33rd St,Calumet Ave & 33rd St,822,-87.627898335,41.877121925,-87.6244675,41.857966,2549.2
Sheridan Rd & Irving Park Rd,Clarendon Ave & Gordon Ter,139,-87.658139,41.965221,-87.648450255,41.949062943,2547.0
Broadway & Waveland Ave,Sheridan Rd & Irving Park Rd,134,-87.648576856,41.949087858,-87.658139,41.965221,2545.9
Broadway & Sheridan Rd,Sheridan Rd & Irving Park Rd,122,-87.648636,41.949074,-87.658139,41.965221,2542.8
Sheridan Rd & Buena Ave,Sheridan Rd & Irving Park Rd,123,-87.648636,41.949074,-87.658139,41.965221,2542.8
Pine Grove Ave & Irving Park Rd,Sheridan Rd & Irving Park Rd,117,-87.648636,41.949074,-87.658139,41.965221,2542.8
Pine Grove Ave & Waveland Ave,Sheridan Rd & Irving Park Rd,127,-87.648636,41.949074,-87.658139,41.965221,2542.8
Clarendon Ave & Gordon Ter,Sheridan Rd & Irving Park Rd,125,-87.648450255,41.949062943,-87.658139,41.965221,2535.6
Loomis St & Lexington St,Halsted St & Polk St,359,-87.623041,41.867888,-87.628388286,41.884695053,2515.3
Throop St & Taylor St,Halsted St & Polk St,142,-87.623041,41.867888,-87.628388286,41.884695053,2515.3
May St & Taylor St,Halsted St & Polk St,178,-87.623041,41.867888,-87.628388286,41.884695053,2515.3
St. Clair St & Erie St,Clinton St & Washington Blvd,153,-87.623041,41.867888,-87.639366,41.877245,2494.9
Chicago Ave & Sheridan Rd,Sheridan Rd & Noyes St (NU),296,-87.683485,42.048214,-87.686152,42.064313,2492.3
Damen Ave & Thomas St (Augusta Blvd),Damen Ave & Pierce Ave,112,-87.648761749,41.883183956,-87.627844,41.877181,2485.1
Sheridan Rd & Noyes St (NU),Chicago Ave & Sheridan Rd,311,-87.686152,42.064313,-87.683485,42.048214,2484.7
Damen Ave & Pierce Ave,Damen Ave & Thomas St (Augusta Blvd),110,-87.627844,41.877181,-87.648761749,41.883183956,2482.3
Mies van der Rohe Way & Chestnut St,Clark St & Elm St,118,-87.623041,41.867888,-87.639490247,41.876943469,2461.6
Halsted St & Polk St,Loomis St & Lexington St,367,-87.628388286,41.884695053,-87.623041,41.867888,2450.6
Halsted St & Polk St,Throop St & Taylor St,138,-87.628388286,41.884695053,-87.623041,41.867888,2450.6
Halsted St & Polk St,May St & Taylor St,167,-87.628388286,41.884695053,-87.623041,41.867888,2450.6
Michigan Ave & Lake St,Canal St & Adams St,165,-87.62783423066139,41.88462107257936,-87.623056769,41.867879987,2413.8
Calumet Ave & 33rd St,State St & 33rd St,829,-87.6244675,41.857966,-87.627898335,41.877121925,2399.7
Wells St & Huron St,Wells St & Concord Ln,125,-87.64883,41.919936,-87.640552,41.904613,2357.0
Rhodes Ave & 32nd St,MLK Jr Dr & 29th St,121,-87.607267,41.866095,-87.626019597,41.867220283,2295.8
Ravenswood Ave & Lawrence Ave,Clark St & Bryn Mawr Ave,118,-87.648636,41.949074,-87.650001,41.967968,2167.8
