id,name,latitude,longitude,dpcapacity,landmark
39,Wabash Ave & Adams St,41.87947235,-87.62568861,23,538
40,LaSalle St & Adams St,41.87934437,-87.63198522,15,537
41,Federal St & Polk St,41.87207763,-87.62954377,19,543
42,Wabash Ave & Cermak Rd,41.852619,-87.626488,11,170
43,Michigan Ave & Washington St,41.88389277,-87.62464914,43,1
44,State St & Randolph St,41.8847302,-87.62773357,27,2
45,Michigan Ave & Congress Pkwy,41.876243,-87.624426,15,40
46,Wells St & Walton St,41.89993001,-87.63443007,19,46
47,State St & Kinzie St,41.88918,-87.6277,23,50
48,Larrabee St & Kingsbury St,41.897764,-87.642884,27,12
49,Dearborn St & Monroe St,41.88131982,-87.62952092,27,49
50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27,9
51,Clark St & Randolph St,41.88457623,-87.63188991,31,5
52,Michigan Ave & Lake St,41.886024,-87.624117,31,43
53,Wells St & Erie St,41.893832,-87.634195,19,64
54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19,44
55,Halsted St & James M Rochford St,41.865861,-87.646611,15,166
56,Desplaines St & Kinzie St,41.88871604,-87.64444785,27,39
57,Clinton St & Roosevelt Rd,41.86711778,-87.64108796,15,327
58,Marshfield Ave & Cortland St,41.916017,-87.668879,19,25
59,Wabash Ave & Roosevelt Rd,41.867227,-87.625961,23,31
60,Dayton St & North Ave,41.91057803,-87.64942193,19,58
61,Wood St & Milwaukee Ave,41.907655,-87.672552,15,221
62,McCormick Place,41.85137517,-87.61883465,27,106
66,Clinton St & Lake St,41.88583274,-87.64138231,19,21
67,Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,15,60
68,Clinton St & Tilden St,41.875885,-87.640795,23,37
69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,19,65
71,Morgan St & Lake St,41.88548331,-87.65230486,15,72
72,State St & 16th St,41.86012138,-87.62772919,15,148
73,Jefferson St & Monroe St,41.880422,-87.642746,19,38
74,Kingsbury St & Erie St,41.89384315,-87.64185116,23,265
75,Canal St & Jackson Blvd,41.878412,-87.641052,31,138
76,Lake Shore Dr & Monroe St,41.880958,-87.616743,39,300
77,Clinton St & Madison St,41.882242,-87.641066,31,301
80,Aberdeen St & Madison St,41.881487,-87.654752,19,156
81,Daley Center Plaza,41.884451,-87.629892,36,23
84,Union Ave & Grand Ave,41.891,-87.645925,19,33
85,Michigan Ave & Oak St,41.90096039,-87.62377664,23,42
86,Eckhart Park,41.89637337,-87.66098386,15,289
87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,19,189
88,May St & Randolph St,41.88397,-87.655688,15,155
89,Financial Pl & Congress Pkwy,41.87500913,-87.63310582,31,540
90,Millennium Park,41.8810317,-87.62408432,35,8
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,10
92,Carpenter St & Huron St,41.894556,-87.653449,19,196
93,Sheffield Ave & Willow St,41.913688,-87.652855,15,190
94,Clark St & Armitage Ave,41.918306,-87.636282,19,146
95,Stony Island Ave & 64th St,41.77870057,-87.58678762,15,490
96,Desplaines St & Randolph St,41.88461619,-87.64457058,23,535
97,Museum Campus,41.865212,-87.617759,35,29
98,LaSalle St & Washington St,41.882664,-87.63253,15,6
99,Lake Shore Dr & Ohio St,41.89257,-87.614492,19,337
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23,13
101,63rd St Beach,41.78101637,-87.57611976,23,491
102,Stony Island Ave & 67th St,41.7734585,-87.58533974,11,492
103,Clinton St & Polk St,41.87146652,-87.64094913,15,542
106,State St & Pearson St,41.897448,-87.628722,27,14
107,Desplaines St & Jackson Blvd,41.878287,-87.643909,23,539
108,Halsted St & Polk St,41.87184,-87.64664,19,27
109,900 W Harrison St,41.874675,-87.650019,19,28
110,Dearborn St & Erie St,41.893992,-87.629318,23,45
111,Sedgwick St & Huron St,41.894666,-87.638437,19,52
112,Green St & Randolph St,41.884078,-87.648684,15,53
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,59
114,Sheffield Ave & Addison St,41.94688,-87.65445,27,62
115,Sheffield Ave & Wellington Ave,41.936253,-87.653566,23,67
116,Western Ave & Winnebago Ave,41.915533,-87.687051,15,68
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23,69
118,Sedgwick St & North Ave,41.910579,-87.638618,19,70
119,Ashland Ave & Lake St,41.88541,-87.66732,19,73
120,Wentworth Ave & Archer Ave,41.854564,-87.631937,15,75
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,19,398
122,Ogden Ave & Congress Pkwy,41.87501,-87.67328,15,81
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,84
124,Damen Ave & Cullerton St,41.855048,-87.675726,15,89
125,Rush St & Hubbard St,41.890011,-87.626293,15,533
